Date,Country,City,Industry Sector,Accident Level,Potential Accident Level,Gender,Employee Type,Critical Risk,Description,Year,Month,Day,POS_Tags,Tokenized Text,Uni-grams,Bi-grams,Tri-grams
2016-01-01,Country_01,Local_01,Mining,I,IV,Male,Third Party,Pressed,removing drill rod jumbo maintenance supervisor proceeds loosen support intermediate centralizer facilitate removal seeing mechanic support one end drill equipment pull hand bar accelerate removal moment bar slide point support tightens finger mechanic drilling bar beam jumbo,2016,1,Friday,"[('removing', 'VBG'), ('drill', 'NN'), ('rod', 'VB'), ('jumbo', 'JJ'), ('maintenance', 'NN'), ('supervisor', 'NN'), ('proceeds', 'NNS'), ('loosen', 'VBP'), ('support', 'NN'), ('intermediate', 'JJ'), ('centralizer', 'NN'), ('facilitate', 'NN'), ('removal', 'NN'), ('seeing', 'VBG'), ('mechanic', 'JJ'), ('support', 'NN'), ('one', 'CD'), ('end', 'NN'), ('drill', 'NN'), ('equipment', 'NN'), ('pull', 'NN'), ('hand', 'NN'), ('bar', 'NN'), ('accelerate', 'NN'), ('removal', 'NN'), ('moment', 'NN'), ('bar', 'NN'), ('slide', 'NN'), ('point', 'NN'), ('support', 'NN'), ('tightens', 'NNS'), ('finger', 'VBP'), ('mechanic', 'JJ'), ('drilling', 'NN'), ('bar', 'NN'), ('beam', 'NN'), ('jumbo', 'NN')]","['removing', 'drill', 'rod', 'jumbo', 'maintenance', 'supervisor', 'proceeds', 'loosen', 'support', 'intermediate', 'centralizer', 'facilitate', 'removal', 'seeing', 'mechanic', 'support', 'one', 'end', 'drill', 'equipment', 'pull', 'hand', 'bar', 'accelerate', 'removal', 'moment', 'bar', 'slide', 'point', 'support', 'tightens', 'finger', 'mechanic', 'drilling', 'bar', 'beam', 'jumbo']","['removing', 'drill', 'rod', 'jumbo', 'maintenance', 'supervisor', 'proceeds', 'loosen', 'support', 'intermediate', 'centralizer', 'facilitate', 'removal', 'seeing', 'mechanic', 'support', 'one', 'end', 'drill', 'equipment', 'pull', 'hand', 'bar', 'accelerate', 'removal', 'moment', 'bar', 'slide', 'point', 'support', 'tightens', 'finger', 'mechanic', 'drilling', 'bar', 'beam', 'jumbo']","['removing drill', 'drill rod', 'rod jumbo', 'jumbo maintenance', 'maintenance supervisor', 'supervisor proceeds', 'proceeds loosen', 'loosen support', 'support intermediate', 'intermediate centralizer', 'centralizer facilitate', 'facilitate removal', 'removal seeing', 'seeing mechanic', 'mechanic support', 'support one', 'one end', 'end drill', 'drill equipment', 'equipment pull', 'pull hand', 'hand bar', 'bar accelerate', 'accelerate removal', 'removal moment', 'moment bar', 'bar slide', 'slide point', 'point support', 'support tightens', 'tightens finger', 'finger mechanic', 'mechanic drilling', 'drilling bar', 'bar beam', 'beam jumbo']","['removing drill rod', 'drill rod jumbo', 'rod jumbo maintenance', 'jumbo maintenance supervisor', 'maintenance supervisor proceeds', 'supervisor proceeds loosen', 'proceeds loosen support', 'loosen support intermediate', 'support intermediate centralizer', 'intermediate centralizer facilitate', 'centralizer facilitate removal', 'facilitate removal seeing', 'removal seeing mechanic', 'seeing mechanic support', 'mechanic support one', 'support one end', 'one end drill', 'end drill equipment', 'drill equipment pull', 'equipment pull hand', 'pull hand bar', 'hand bar accelerate', 'bar accelerate removal', 'accelerate removal moment', 'removal moment bar', 'moment bar slide', 'bar slide point', 'slide point support', 'point support tightens', 'support tightens finger', 'tightens finger mechanic', 'finger mechanic drilling', 'mechanic drilling bar', 'drilling bar beam', 'bar beam jumbo']"
2016-01-02,Country_02,Local_02,Mining,I,IV,Male,Employee,Pressurized Systems,activation sodium sulphide pump piping uncoupled sulfide solution designed area reach maid immediately made use emergency shower directed ambulatory doctor later hospital note sulphide solution gram liter,2016,1,Saturday,"[('activation', 'NN'), ('sodium', 'NN'), ('sulphide', 'JJ'), ('pump', 'NN'), ('piping', 'VBG'), ('uncoupled', 'JJ'), ('sulfide', 'JJ'), ('solution', 'NN'), ('designed', 'VBN'), ('area', 'NN'), ('reach', 'NN'), ('maid', 'VBD'), ('immediately', 'RB'), ('made', 'VBN'), ('use', 'NN'), ('emergency', 'NN'), ('shower', 'NN'), ('directed', 'VBD'), ('ambulatory', 'JJ'), ('doctor', 'NN'), ('later', 'RBR'), ('hospital', 'JJ'), ('note', 'NN'), ('sulphide', 'JJ'), ('solution', 'NN'), ('gram', 'NN'), ('liter', 'NN')]","['activation', 'sodium', 'sulphide', 'pump', 'piping', 'uncoupled', 'sulfide', 'solution', 'designed', 'area', 'reach', 'maid', 'immediately', 'made', 'use', 'emergency', 'shower', 'directed', 'ambulatory', 'doctor', 'later', 'hospital', 'note', 'sulphide', 'solution', 'gram', 'liter']","['activation', 'sodium', 'sulphide', 'pump', 'piping', 'uncoupled', 'sulfide', 'solution', 'designed', 'area', 'reach', 'maid', 'immediately', 'made', 'use', 'emergency', 'shower', 'directed', 'ambulatory', 'doctor', 'later', 'hospital', 'note', 'sulphide', 'solution', 'gram', 'liter']","['activation sodium', 'sodium sulphide', 'sulphide pump', 'pump piping', 'piping uncoupled', 'uncoupled sulfide', 'sulfide solution', 'solution designed', 'designed area', 'area reach', 'reach maid', 'maid immediately', 'immediately made', 'made use', 'use emergency', 'emergency shower', 'shower directed', 'directed ambulatory', 'ambulatory doctor', 'doctor later', 'later hospital', 'hospital note', 'note sulphide', 'sulphide solution', 'solution gram', 'gram liter']","['activation sodium sulphide', 'sodium sulphide pump', 'sulphide pump piping', 'pump piping uncoupled', 'piping uncoupled sulfide', 'uncoupled sulfide solution', 'sulfide solution designed', 'solution designed area', 'designed area reach', 'area reach maid', 'reach maid immediately', 'maid immediately made', 'immediately made use', 'made use emergency', 'use emergency shower', 'emergency shower directed', 'shower directed ambulatory', 'directed ambulatory doctor', 'ambulatory doctor later', 'doctor later hospital', 'later hospital note', 'hospital note sulphide', 'note sulphide solution', 'sulphide solution gram', 'solution gram liter']"
2016-01-06,Country_01,Local_03,Mining,I,III,Male,Third Party (Remote),Manual Tools,sub station milpo located level collaborator excavation work pick hand tool hitting rock flat part beak bounce hitting steel tip safety shoe metatarsal area left foot collaborator causing injury,2016,1,Wednesday,"[('sub', 'JJ'), ('station', 'NN'), ('milpo', 'NN'), ('located', 'VBN'), ('level', 'NN'), ('collaborator', 'NN'), ('excavation', 'NN'), ('work', 'NN'), ('pick', 'JJ'), ('hand', 'NN'), ('tool', 'NN'), ('hitting', 'VBG'), ('rock', 'NN'), ('flat', 'JJ'), ('part', 'NN'), ('beak', 'NN'), ('bounce', 'NN'), ('hitting', 'VBG'), ('steel', 'NN'), ('tip', 'NNS'), ('safety', 'NN'), ('shoe', 'NN'), ('metatarsal', 'JJ'), ('area', 'NN'), ('left', 'VBD'), ('foot', 'JJ'), ('collaborator', 'NN'), ('causing', 'VBG'), ('injury', 'NN')]","['sub', 'station', 'milpo', 'located', 'level', 'collaborator', 'excavation', 'work', 'pick', 'hand', 'tool', 'hitting', 'rock', 'flat', 'part', 'beak', 'bounce', 'hitting', 'steel', 'tip', 'safety', 'shoe', 'metatarsal', 'area', 'left', 'foot', 'collaborator', 'causing', 'injury']","['sub', 'station', 'milpo', 'located', 'level', 'collaborator', 'excavation', 'work', 'pick', 'hand', 'tool', 'hitting', 'rock', 'flat', 'part', 'beak', 'bounce', 'hitting', 'steel', 'tip', 'safety', 'shoe', 'metatarsal', 'area', 'left', 'foot', 'collaborator', 'causing', 'injury']","['sub station', 'station milpo', 'milpo located', 'located level', 'level collaborator', 'collaborator excavation', 'excavation work', 'work pick', 'pick hand', 'hand tool', 'tool hitting', 'hitting rock', 'rock flat', 'flat part', 'part beak', 'beak bounce', 'bounce hitting', 'hitting steel', 'steel tip', 'tip safety', 'safety shoe', 'shoe metatarsal', 'metatarsal area', 'area left', 'left foot', 'foot collaborator', 'collaborator causing', 'causing injury']","['sub station milpo', 'station milpo located', 'milpo located level', 'located level collaborator', 'level collaborator excavation', 'collaborator excavation work', 'excavation work pick', 'work pick hand', 'pick hand tool', 'hand tool hitting', 'tool hitting rock', 'hitting rock flat', 'rock flat part', 'flat part beak', 'part beak bounce', 'beak bounce hitting', 'bounce hitting steel', 'hitting steel tip', 'steel tip safety', 'tip safety shoe', 'safety shoe metatarsal', 'shoe metatarsal area', 'metatarsal area left', 'area left foot', 'left foot collaborator', 'foot collaborator causing', 'collaborator causing injury']"
2016-01-08,Country_01,Local_04,Mining,I,I,Male,Third Party,Others,approximately nv cx ob personnel begin task unlocking soquet bolt bhb machine penultimate bolt identified hexagonal head worn proceeding mr cristobal auxiliary assistant climb platform exert pressure hand dado key prevent coming bolt moment two collaborator rotate lever anti clockwise direction leaving key bolt hitting palm left hand causing injury,2016,1,Friday,"[('approximately', 'RB'), ('nv', 'JJ'), ('cx', 'NN'), ('ob', 'NN'), ('personnel', 'NNS'), ('begin', 'VBP'), ('task', 'NN'), ('unlocking', 'JJ'), ('soquet', 'NN'), ('bolt', 'NN'), ('bhb', 'NN'), ('machine', 'NN'), ('penultimate', 'NN'), ('bolt', 'NN'), ('identified', 'VBD'), ('hexagonal', 'JJ'), ('head', 'NN'), ('worn', 'IN'), ('proceeding', 'VBG'), ('mr', 'NN'), ('cristobal', 'JJ'), ('auxiliary', 'JJ'), ('assistant', 'NN'), ('climb', 'NN'), ('platform', 'NN'), ('exert', 'JJ'), ('pressure', 'NN'), ('hand', 'NN'), ('dado', 'NN'), ('key', 'JJ'), ('prevent', 'NN'), ('coming', 'VBG'), ('bolt', 'JJ'), ('moment', 'NN'), ('two', 'CD'), ('collaborator', 'NN'), ('rotate', 'NN'), ('lever', 'NN'), ('anti', 'VBP'), ('clockwise', 'JJ'), ('direction', 'NN'), ('leaving', 'VBG'), ('key', 'JJ'), ('bolt', 'NN'), ('hitting', 'VBG'), ('palm', 'NN'), ('left', 'VBD'), ('hand', 'NN'), ('causing', 'VBG'), ('injury', 'NN')]","['approximately', 'nv', 'cx', 'ob', 'personnel', 'begin', 'task', 'unlocking', 'soquet', 'bolt', 'bhb', 'machine', 'penultimate', 'bolt', 'identified', 'hexagonal', 'head', 'worn', 'proceeding', 'mr', 'cristobal', 'auxiliary', 'assistant', 'climb', 'platform', 'exert', 'pressure', 'hand', 'dado', 'key', 'prevent', 'coming', 'bolt', 'moment', 'two', 'collaborator', 'rotate', 'lever', 'anti', 'clockwise', 'direction', 'leaving', 'key', 'bolt', 'hitting', 'palm', 'left', 'hand', 'causing', 'injury']","['approximately', 'nv', 'cx', 'ob', 'personnel', 'begin', 'task', 'unlocking', 'soquet', 'bolt', 'bhb', 'machine', 'penultimate', 'bolt', 'identified', 'hexagonal', 'head', 'worn', 'proceeding', 'mr', 'cristobal', 'auxiliary', 'assistant', 'climb', 'platform', 'exert', 'pressure', 'hand', 'dado', 'key', 'prevent', 'coming', 'bolt', 'moment', 'two', 'collaborator', 'rotate', 'lever', 'anti', 'clockwise', 'direction', 'leaving', 'key', 'bolt', 'hitting', 'palm', 'left', 'hand', 'causing', 'injury']","['approximately nv', 'nv cx', 'cx ob', 'ob personnel', 'personnel begin', 'begin task', 'task unlocking', 'unlocking soquet', 'soquet bolt', 'bolt bhb', 'bhb machine', 'machine penultimate', 'penultimate bolt', 'bolt identified', 'identified hexagonal', 'hexagonal head', 'head worn', 'worn proceeding', 'proceeding mr', 'mr cristobal', 'cristobal auxiliary', 'auxiliary assistant', 'assistant climb', 'climb platform', 'platform exert', 'exert pressure', 'pressure hand', 'hand dado', 'dado key', 'key prevent', 'prevent coming', 'coming bolt', 'bolt moment', 'moment two', 'two collaborator', 'collaborator rotate', 'rotate lever', 'lever anti', 'anti clockwise', 'clockwise direction', 'direction leaving', 'leaving key', 'key bolt', 'bolt hitting', 'hitting palm', 'palm left', 'left hand', 'hand causing', 'causing injury']","['approximately nv cx', 'nv cx ob', 'cx ob personnel', 'ob personnel begin', 'personnel begin task', 'begin task unlocking', 'task unlocking soquet', 'unlocking soquet bolt', 'soquet bolt bhb', 'bolt bhb machine', 'bhb machine penultimate', 'machine penultimate bolt', 'penultimate bolt identified', 'bolt identified hexagonal', 'identified hexagonal head', 'hexagonal head worn', 'head worn proceeding', 'worn proceeding mr', 'proceeding mr cristobal', 'mr cristobal auxiliary', 'cristobal auxiliary assistant', 'auxiliary assistant climb', 'assistant climb platform', 'climb platform exert', 'platform exert pressure', 'exert pressure hand', 'pressure hand dado', 'hand dado key', 'dado key prevent', 'key prevent coming', 'prevent coming bolt', 'coming bolt moment', 'bolt moment two', 'moment two collaborator', 'two collaborator rotate', 'collaborator rotate lever', 'rotate lever anti', 'lever anti clockwise', 'anti clockwise direction', 'clockwise direction leaving', 'direction leaving key', 'leaving key bolt', 'key bolt hitting', 'bolt hitting palm', 'hitting palm left', 'palm left hand', 'left hand causing', 'hand causing injury']"
2016-01-10,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Others,approximately circumstance mechanic anthony group leader eduardo eric fernandez injured three company impromec performed removal pulley motor pump zaf marcy cm length cm weight kg locked proceed heating pulley loosen come fall distance meter high hit instep right foot worker causing injury described,2016,1,Sunday,"[('approximately', 'RB'), ('circumstance', 'NN'), ('mechanic', 'JJ'), ('anthony', 'NN'), ('group', 'NN'), ('leader', 'NN'), ('eduardo', 'VBZ'), ('eric', 'JJ'), ('fernandez', 'NN'), ('injured', 'VBD'), ('three', 'CD'), ('company', 'NN'), ('impromec', 'NN'), ('performed', 'VBD'), ('removal', 'JJ'), ('pulley', 'NN'), ('motor', 'NN'), ('pump', 'NN'), ('zaf', 'NN'), ('marcy', 'NN'), ('cm', 'NN'), ('length', 'NN'), ('cm', 'NN'), ('weight', 'VBD'), ('kg', 'NN'), ('locked', 'VBN'), ('proceed', 'IN'), ('heating', 'VBG'), ('pulley', 'NN'), ('loosen', 'VBD'), ('come', 'JJ'), ('fall', 'NN'), ('distance', 'NN'), ('meter', 'RB'), ('high', 'JJ'), ('hit', 'NN'), ('instep', 'NN'), ('right', 'JJ'), ('foot', 'NN'), ('worker', 'NN'), ('causing', 'VBG'), ('injury', 'NN'), ('described', 'VBD')]","['approximately', 'circumstance', 'mechanic', 'anthony', 'group', 'leader', 'eduardo', 'eric', 'fernandez', 'injured', 'three', 'company', 'impromec', 'performed', 'removal', 'pulley', 'motor', 'pump', 'zaf', 'marcy', 'cm', 'length', 'cm', 'weight', 'kg', 'locked', 'proceed', 'heating', 'pulley', 'loosen', 'come', 'fall', 'distance', 'meter', 'high', 'hit', 'instep', 'right', 'foot', 'worker', 'causing', 'injury', 'described']","['approximately', 'circumstance', 'mechanic', 'anthony', 'group', 'leader', 'eduardo', 'eric', 'fernandez', 'injured', 'three', 'company', 'impromec', 'performed', 'removal', 'pulley', 'motor', 'pump', 'zaf', 'marcy', 'cm', 'length', 'cm', 'weight', 'kg', 'locked', 'proceed', 'heating', 'pulley', 'loosen', 'come', 'fall', 'distance', 'meter', 'high', 'hit', 'instep', 'right', 'foot', 'worker', 'causing', 'injury', 'described']","['approximately circumstance', 'circumstance mechanic', 'mechanic anthony', 'anthony group', 'group leader', 'leader eduardo', 'eduardo eric', 'eric fernandez', 'fernandez injured', 'injured three', 'three company', 'company impromec', 'impromec performed', 'performed removal', 'removal pulley', 'pulley motor', 'motor pump', 'pump zaf', 'zaf marcy', 'marcy cm', 'cm length', 'length cm', 'cm weight', 'weight kg', 'kg locked', 'locked proceed', 'proceed heating', 'heating pulley', 'pulley loosen', 'loosen come', 'come fall', 'fall distance', 'distance meter', 'meter high', 'high hit', 'hit instep', 'instep right', 'right foot', 'foot worker', 'worker causing', 'causing injury', 'injury described']","['approximately circumstance mechanic', 'circumstance mechanic anthony', 'mechanic anthony group', 'anthony group leader', 'group leader eduardo', 'leader eduardo eric', 'eduardo eric fernandez', 'eric fernandez injured', 'fernandez injured three', 'injured three company', 'three company impromec', 'company impromec performed', 'impromec performed removal', 'performed removal pulley', 'removal pulley motor', 'pulley motor pump', 'motor pump zaf', 'pump zaf marcy', 'zaf marcy cm', 'marcy cm length', 'cm length cm', 'length cm weight', 'cm weight kg', 'weight kg locked', 'kg locked proceed', 'locked proceed heating', 'proceed heating pulley', 'heating pulley loosen', 'pulley loosen come', 'loosen come fall', 'come fall distance', 'fall distance meter', 'distance meter high', 'meter high hit', 'high hit instep', 'hit instep right', 'instep right foot', 'right foot worker', 'foot worker causing', 'worker causing injury', 'causing injury described']"
2016-01-12,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Pressurized Systems,unloading operation ustulado bag need unclog discharge mouth silo truck performing procedure maneuver unhooking hose without total depressurisation mouth projecting ustulado powder collaborator caused irritation eye,2016,1,Tuesday,"[('unloading', 'VBG'), ('operation', 'NN'), ('ustulado', 'JJ'), ('bag', 'NN'), ('need', 'VBP'), ('unclog', 'JJ'), ('discharge', 'NN'), ('mouth', 'NN'), ('silo', 'JJ'), ('truck', 'NN'), ('performing', 'VBG'), ('procedure', 'NN'), ('maneuver', 'NN'), ('unhooking', 'VBG'), ('hose', 'NN'), ('without', 'IN'), ('total', 'JJ'), ('depressurisation', 'NN'), ('mouth', 'NN'), ('projecting', 'VBG'), ('ustulado', 'JJ'), ('powder', 'NN'), ('collaborator', 'NN'), ('caused', 'VBD'), ('irritation', 'NN'), ('eye', 'NN')]","['unloading', 'operation', 'ustulado', 'bag', 'need', 'unclog', 'discharge', 'mouth', 'silo', 'truck', 'performing', 'procedure', 'maneuver', 'unhooking', 'hose', 'without', 'total', 'depressurisation', 'mouth', 'projecting', 'ustulado', 'powder', 'collaborator', 'caused', 'irritation', 'eye']","['unloading', 'operation', 'ustulado', 'bag', 'need', 'unclog', 'discharge', 'mouth', 'silo', 'truck', 'performing', 'procedure', 'maneuver', 'unhooking', 'hose', 'without', 'total', 'depressurisation', 'mouth', 'projecting', 'ustulado', 'powder', 'collaborator', 'caused', 'irritation', 'eye']","['unloading operation', 'operation ustulado', 'ustulado bag', 'bag need', 'need unclog', 'unclog discharge', 'discharge mouth', 'mouth silo', 'silo truck', 'truck performing', 'performing procedure', 'procedure maneuver', 'maneuver unhooking', 'unhooking hose', 'hose without', 'without total', 'total depressurisation', 'depressurisation mouth', 'mouth projecting', 'projecting ustulado', 'ustulado powder', 'powder collaborator', 'collaborator caused', 'caused irritation', 'irritation eye']","['unloading operation ustulado', 'operation ustulado bag', 'ustulado bag need', 'bag need unclog', 'need unclog discharge', 'unclog discharge mouth', 'discharge mouth silo', 'mouth silo truck', 'silo truck performing', 'truck performing procedure', 'performing procedure maneuver', 'procedure maneuver unhooking', 'maneuver unhooking hose', 'unhooking hose without', 'hose without total', 'without total depressurisation', 'total depressurisation mouth', 'depressurisation mouth projecting', 'mouth projecting ustulado', 'projecting ustulado powder', 'ustulado powder collaborator', 'powder collaborator caused', 'collaborator caused irritation', 'caused irritation eye']"
2016-01-16,Country_02,Local_05,Metals,I,III,Male,Employee,Fall prevention (same level),collaborator report street holding left hand volumetric balloon slipped placing hand ground volumetric balloon ended breaking caused small wound left hand,2016,1,Saturday,"[('collaborator', 'NN'), ('report', 'NN'), ('street', 'NN'), ('holding', 'VBG'), ('left', 'JJ'), ('hand', 'NN'), ('volumetric', 'NN'), ('balloon', 'NN'), ('slipped', 'VBD'), ('placing', 'VBG'), ('hand', 'NN'), ('ground', 'NN'), ('volumetric', 'JJ'), ('balloon', 'NN'), ('ended', 'VBD'), ('breaking', 'VBG'), ('caused', 'VBD'), ('small', 'JJ'), ('wound', 'NN'), ('left', 'VBD'), ('hand', 'NN')]","['collaborator', 'report', 'street', 'holding', 'left', 'hand', 'volumetric', 'balloon', 'slipped', 'placing', 'hand', 'ground', 'volumetric', 'balloon', 'ended', 'breaking', 'caused', 'small', 'wound', 'left', 'hand']","['collaborator', 'report', 'street', 'holding', 'left', 'hand', 'volumetric', 'balloon', 'slipped', 'placing', 'hand', 'ground', 'volumetric', 'balloon', 'ended', 'breaking', 'caused', 'small', 'wound', 'left', 'hand']","['collaborator report', 'report street', 'street holding', 'holding left', 'left hand', 'hand volumetric', 'volumetric balloon', 'balloon slipped', 'slipped placing', 'placing hand', 'hand ground', 'ground volumetric', 'volumetric balloon', 'balloon ended', 'ended breaking', 'breaking caused', 'caused small', 'small wound', 'wound left', 'left hand']","['collaborator report street', 'report street holding', 'street holding left', 'holding left hand', 'left hand volumetric', 'hand volumetric balloon', 'volumetric balloon slipped', 'balloon slipped placing', 'slipped placing hand', 'placing hand ground', 'hand ground volumetric', 'ground volumetric balloon', 'volumetric balloon ended', 'balloon ended breaking', 'ended breaking caused', 'breaking caused small', 'caused small wound', 'small wound left', 'wound left hand']"
2016-01-17,Country_01,Local_04,Mining,I,III,Male,Third Party,Pressed,approximately p mechanic technician jose tecnomin verified transmission belt hm pump acid plant proceeded turn pulley manually unexpectedly instant electrician supervisor miguel eka mining grab transmission belt verify tension point finger trap,2016,1,Sunday,"[('approximately', 'RB'), ('p', 'JJ'), ('mechanic', 'JJ'), ('technician', 'NN'), ('jose', 'NN'), ('tecnomin', 'NN'), ('verified', 'VBD'), ('transmission', 'NN'), ('belt', 'NN'), ('hm', 'NN'), ('pump', 'NN'), ('acid', 'NN'), ('plant', 'NN'), ('proceeded', 'VBD'), ('turn', 'NN'), ('pulley', 'NN'), ('manually', 'RB'), ('unexpectedly', 'RB'), ('instant', 'JJ'), ('electrician', 'NN'), ('supervisor', 'NN'), ('miguel', 'NN'), ('eka', 'NN'), ('mining', 'NN'), ('grab', 'NN'), ('transmission', 'NN'), ('belt', 'VBD'), ('verify', 'JJ'), ('tension', 'NN'), ('point', 'NN'), ('finger', 'NN'), ('trap', 'NN')]","['approximately', 'p', 'mechanic', 'technician', 'jose', 'tecnomin', 'verified', 'transmission', 'belt', 'hm', 'pump', 'acid', 'plant', 'proceeded', 'turn', 'pulley', 'manually', 'unexpectedly', 'instant', 'electrician', 'supervisor', 'miguel', 'eka', 'mining', 'grab', 'transmission', 'belt', 'verify', 'tension', 'point', 'finger', 'trap']","['approximately', 'p', 'mechanic', 'technician', 'jose', 'tecnomin', 'verified', 'transmission', 'belt', 'hm', 'pump', 'acid', 'plant', 'proceeded', 'turn', 'pulley', 'manually', 'unexpectedly', 'instant', 'electrician', 'supervisor', 'miguel', 'eka', 'mining', 'grab', 'transmission', 'belt', 'verify', 'tension', 'point', 'finger', 'trap']","['approximately p', 'p mechanic', 'mechanic technician', 'technician jose', 'jose tecnomin', 'tecnomin verified', 'verified transmission', 'transmission belt', 'belt hm', 'hm pump', 'pump acid', 'acid plant', 'plant proceeded', 'proceeded turn', 'turn pulley', 'pulley manually', 'manually unexpectedly', 'unexpectedly instant', 'instant electrician', 'electrician supervisor', 'supervisor miguel', 'miguel eka', 'eka mining', 'mining grab', 'grab transmission', 'transmission belt', 'belt verify', 'verify tension', 'tension point', 'point finger', 'finger trap']","['approximately p mechanic', 'p mechanic technician', 'mechanic technician jose', 'technician jose tecnomin', 'jose tecnomin verified', 'tecnomin verified transmission', 'verified transmission belt', 'transmission belt hm', 'belt hm pump', 'hm pump acid', 'pump acid plant', 'acid plant proceeded', 'plant proceeded turn', 'proceeded turn pulley', 'turn pulley manually', 'pulley manually unexpectedly', 'manually unexpectedly instant', 'unexpectedly instant electrician', 'instant electrician supervisor', 'electrician supervisor miguel', 'supervisor miguel eka', 'miguel eka mining', 'eka mining grab', 'mining grab transmission', 'grab transmission belt', 'transmission belt verify', 'belt verify tension', 'verify tension point', 'tension point finger', 'point finger trap']"
2016-01-19,Country_02,Local_02,Mining,I,IV,Male,Third Party (Remote),Others,employee sitting resting area level raise bore suffered sudden illness falling suffering excoriation face,2016,1,Tuesday,"[('employee', 'NN'), ('sitting', 'VBG'), ('resting', 'VBG'), ('area', 'NN'), ('level', 'NN'), ('raise', 'VB'), ('bore', 'RB'), ('suffered', 'JJ'), ('sudden', 'JJ'), ('illness', 'NN'), ('falling', 'VBG'), ('suffering', 'VBG'), ('excoriation', 'NN'), ('face', 'NN')]","['employee', 'sitting', 'resting', 'area', 'level', 'raise', 'bore', 'suffered', 'sudden', 'illness', 'falling', 'suffering', 'excoriation', 'face']","['employee', 'sitting', 'resting', 'area', 'level', 'raise', 'bore', 'suffered', 'sudden', 'illness', 'falling', 'suffering', 'excoriation', 'face']","['employee sitting', 'sitting resting', 'resting area', 'area level', 'level raise', 'raise bore', 'bore suffered', 'suffered sudden', 'sudden illness', 'illness falling', 'falling suffering', 'suffering excoriation', 'excoriation face']","['employee sitting resting', 'sitting resting area', 'resting area level', 'area level raise', 'level raise bore', 'raise bore suffered', 'bore suffered sudden', 'suffered sudden illness', 'sudden illness falling', 'illness falling suffering', 'falling suffering excoriation', 'suffering excoriation face']"
2016-01-26,Country_01,Local_06,Metals,I,II,Male,Third Party,Chemical substances,moment forklift operator went manipulate big bag bioxide section front ladder lead area manual displacement splashed spent height forehead fissure pipe g subsequently spilling left eye collaborator went nearby eyewash cleaning immediately medical center,2016,1,Tuesday,"[('moment', 'NN'), ('forklift', 'NN'), ('operator', 'NN'), ('went', 'VBD'), ('manipulate', 'JJ'), ('big', 'JJ'), ('bag', 'NN'), ('bioxide', 'NN'), ('section', 'NN'), ('front', 'NN'), ('ladder', 'NN'), ('lead', 'JJ'), ('area', 'NN'), ('manual', 'JJ'), ('displacement', 'NN'), ('splashed', 'VBD'), ('spent', 'JJ'), ('height', 'NN'), ('forehead', 'JJ'), ('fissure', 'NN'), ('pipe', 'NN'), ('g', 'NN'), ('subsequently', 'RB'), ('spilling', 'VBG'), ('left', 'VBN'), ('eye', 'NN'), ('collaborator', 'NN'), ('went', 'VBD'), ('nearby', 'JJ'), ('eyewash', 'NN'), ('cleaning', 'VBG'), ('immediately', 'RB'), ('medical', 'JJ'), ('center', 'NN')]","['moment', 'forklift', 'operator', 'went', 'manipulate', 'big', 'bag', 'bioxide', 'section', 'front', 'ladder', 'lead', 'area', 'manual', 'displacement', 'splashed', 'spent', 'height', 'forehead', 'fissure', 'pipe', 'g', 'subsequently', 'spilling', 'left', 'eye', 'collaborator', 'went', 'nearby', 'eyewash', 'cleaning', 'immediately', 'medical', 'center']","['moment', 'forklift', 'operator', 'went', 'manipulate', 'big', 'bag', 'bioxide', 'section', 'front', 'ladder', 'lead', 'area', 'manual', 'displacement', 'splashed', 'spent', 'height', 'forehead', 'fissure', 'pipe', 'g', 'subsequently', 'spilling', 'left', 'eye', 'collaborator', 'went', 'nearby', 'eyewash', 'cleaning', 'immediately', 'medical', 'center']","['moment forklift', 'forklift operator', 'operator went', 'went manipulate', 'manipulate big', 'big bag', 'bag bioxide', 'bioxide section', 'section front', 'front ladder', 'ladder lead', 'lead area', 'area manual', 'manual displacement', 'displacement splashed', 'splashed spent', 'spent height', 'height forehead', 'forehead fissure', 'fissure pipe', 'pipe g', 'g subsequently', 'subsequently spilling', 'spilling left', 'left eye', 'eye collaborator', 'collaborator went', 'went nearby', 'nearby eyewash', 'eyewash cleaning', 'cleaning immediately', 'immediately medical', 'medical center']","['moment forklift operator', 'forklift operator went', 'operator went manipulate', 'went manipulate big', 'manipulate big bag', 'big bag bioxide', 'bag bioxide section', 'bioxide section front', 'section front ladder', 'front ladder lead', 'ladder lead area', 'lead area manual', 'area manual displacement', 'manual displacement splashed', 'displacement splashed spent', 'splashed spent height', 'spent height forehead', 'height forehead fissure', 'forehead fissure pipe', 'fissure pipe g', 'pipe g subsequently', 'g subsequently spilling', 'subsequently spilling left', 'spilling left eye', 'left eye collaborator', 'eye collaborator went', 'collaborator went nearby', 'went nearby eyewash', 'nearby eyewash cleaning', 'eyewash cleaning immediately', 'cleaning immediately medical', 'immediately medical center']"
