"name","cloudplatform","nooflabs","lastprovisiondate","category","createdon","comments"
aws.Account,AMAZON,14485,2023-02-02 13:28:43.114 +0530,ACCOUNT_PROVISIONING,2017-05-12 19:32:02.546 +0530,Provisioned
aws.Account.Clab,AMAZON,421,2023-01-31 12:01:01.144 +0530,ACCOUNT_PROVISIONING,2021-12-27 15:30:52.141 +0530,Provisioned
aws.Account.Greatlearning.FullAccess,AMAZON,983,2023-02-02 12:47:18.709 +0530,ACCOUNT_PROVISIONING,2017-11-06 19:21:12.838 +0530,Provisioned
aws.Account.Imocha,AMAZON,,,ACCOUNT_PROVISIONING,2021-11-19 16:43:58.244 +0530,Never Requested For Proviosion
aws.Account.INurture.FullAccess,AMAZON,73,2018-04-18 13:27:24.973 +0530,ACCOUNT_PROVISIONING,2017-10-12 17:37:23.997 +0530,Provisioned
aws.Account.ResourceLab,AMAZON,,,ACCOUNT_PROVISIONING,2021-07-27 09:31:11.304 +0530,Never Requested For Proviosion
aws.Account.SageMaker,AMAZON,32,2022-09-27 11:09:37.031 +0530,ACCOUNT_PROVISIONING,2021-09-02 10:14:54.644 +0530,Provisioned
aws.Account.Simplilearn.FullAccess,AMAZON,8962,2021-03-06 18:50:46.465 +0530,ACCOUNT_PROVISIONING,2018-02-06 19:58:31.375 +0530,Provisioned
aws.AmazonLinux,AMAZON,5,2018-07-24 13:26:39.895 +0530,RESOURCE_PROVISIONING,2017-05-31 17:59:25.022 +0530,Provisioned
aws.AmazonLinux.Docker,AMAZON,,,RESOURCE_PROVISIONING,2022-11-07 23:27:53.439 +0530,Never Requested For Proviosion
aws.asm.hicounselor.Windows.MSSQL2019,AMAZON,82,2023-01-21 11:15:00.133 +0530,RESOURCE_PROVISIONING,2022-12-10 16:29:05.882 +0530,Provisioned
aws.CentOS,AMAZON,2,2022-11-28 13:52:27.843 +0530,RESOURCE_PROVISIONING,2022-11-28 13:07:48.649 +0530,Provisioned
aws.ChallengeLab.Account,AMAZON,19,2021-08-16 17:05:05.708 +0530,ACCOUNT_PROVISIONING,2020-07-15 10:59:15.729 +0530,Provisioned
aws.Cloudlabs,AMAZON,1,2018-05-28 17:11:04.897 +0530,RESOURCE_PROVISIONING,2018-05-28 12:01:34.206 +0530,Provisioned
aws.importAccountEndUser,AMAZON,1317,2023-02-01 12:23:27.642 +0530,IMPORT_USER_ACCOUNT,2017-05-19 12:53:08.201 +0530,Provisioned
aws.importAccountProvider,AMAZON,33,2020-02-18 11:46:48.319 +0530,IMPORT_USER_ACCOUNT,2017-05-12 19:59:25.981 +0530,Provisioned
aws.importAccountToOrganization,AMAZON,,,IMPORT_USER_ACCOUNT,2019-08-16 10:31:18.311 +0530,Never Requested For Proviosion
