"id","level","priority","category","source","username","triggertime","details","eventname","resourcetype","resourceid","status"
39287348,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:25.286 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 67d3751a-9305-48c2-927d-3c205fb1a90c.,Unpark,Deployment,"67d3751a-9305-48c2-927d-3c205fb1a90c",InProgress
39287352,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:25.805 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 64e43bc5-02ad-4be6-bd0a-57aabf609db1.,Unpark,Deployment,"64e43bc5-02ad-4be6-bd0a-57aabf609db1",InProgress
39287354,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:26.184 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 5de1be4e-9bdf-48fe-81a8-a806204bad15.,Unpark,Deployment,"5de1be4e-9bdf-48fe-81a8-a806204bad15",InProgress
39287364,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:27.982 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 28023426-7514-4f65-8a63-4e29ddda44d7.,Unpark,Deployment,"28023426-7514-4f65-8a63-4e29ddda44d7",InProgress
39287367,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:28.406 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 97590ffa-b82b-4261-8232-3b4d25613d45.,Unpark,Deployment,"97590ffa-b82b-4261-8232-3b4d25613d45",InProgress
39287431,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:37.954 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id b24d8e91-4ea4-4e3d-a4a6-1c1e2a96681f.,Unpark,Deployment,b24d8e91-4ea4-4e3d-a4a6-1c1e2a96681f,InProgress
39287447,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:40.174 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 8c1f3fa2-f1d7-4de2-8432-abf323b448a6.,Unpark,Deployment,"8c1f3fa2-f1d7-4de2-8432-abf323b448a6",InProgress
39287477,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:44.592 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id a0fabe34-7f85-4290-8ee8-f8821fd2e1ad.,Unpark,Deployment,a0fabe34-7f85-4290-8ee8-f8821fd2e1ad,InProgress
39287479,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:22:44.707 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id f361f949-50b9-45a0-a843-b7f968d8a470.,Unpark,Deployment,f361f949-50b9-45a0-a843-b7f968d8a470,InProgress
39287899,INFORMATION,MEDIUM,RESOURCE_MANAGER,RESOURCE_MANAGER,Project,2022-11-17 16:26:28.340 +0530,User 'Project' performing 'Unpark' action (Reason: NONE) on Deployment with id 78f245fa-4fdf-44c7-9b04-c091d8cc6183.,Unpark,Deployment,"78f245fa-4fdf-44c7-9b04-c091d8cc6183",InProgress
